nome;e_mail;genero_musical;instrumentos
Hallynny Henrique;hh@email.com;Rock;Teclado
Bruno Henrique;bruno@letscode.com.br;Rock;Guitarra, Baixo
Ana Leticia;ana@letscode.com.br;Rock;Bateria
Danilo Mendes;danilo@letscode.com.br;Rock;Baixo
Erasmo Melo;erasmo@letscode.com.br;Rock;Baixo
Carol Mendes;carol@letsdcode.com.br;Rock;Guitarra
Yasmim Mendes;yasmim@letscode.com.br;Rock;Bateria
Erica Tavares;erica@letscode.com.br;Gospel;Violão
Tayssa Gabrielly;taysse@letscode.com.br;Gospel;Violão
Nancy Barros;nancy@letscode.com.br;Gospel;Flauta
Felipe Andre;felipe@letscode.com.br;Gospel;Flauta
André Felipe;andre@letscode.com.br;Gospel;Flauta
Henrique Marques;henrique@letscode.com.br;Gospel;Teclado
Marques Henrique;marques@letscode.com.br;Gospel;Teclado
Clara Mendes;clara@letscode.com.br;Gospel;Baixo
Mendes Mais;mendes@letscode.com.br;Gospel;Baixo
Pedro Lucca;pedro@letscode.com.br;Rock;Teclado
Marcel Melo;marcel@letscode.com.br;Pop;Vocal
Pedro Paulo;paulo@letscode.com.br;Pop;Vocal
Paulo Vitor;pv@letscode.com.br;Pop;Guitarra
Leticia Leite;leticia@letscode.com.br;Pop;Violão
Luiza Leite;luiza@letscode.com.br;Pop;Bateria
João Neto;joao@letscode.com.br;Pop;Bateria
